date,y,Dp,eq,ep,r,ys,Dps,eqs,rs,lrs,poil,pmat,pmetal
2010Q1,5.017081595,0.004859589,1.890880823,-3.603857917,0.00522828,5.068778529,0.00712075,1.706120821,0.004084885,0.008483246,4.346591291,4.744669771,5.252967472
2010Q2,5.034145606,0.001675323,1.892037984,-3.637094939,0.006263381,5.092409725,0.005650225,1.687687953,0.0041857,0.008062575,4.375010271,4.807373306,5.302134682
2010Q3,5.032034639,0.006673365,1.966193968,-3.681422483,0.006986463,5.097606864,0.007939465,1.71783918,0.004517768,0.007123357,4.342959797,4.811790658,5.263772227
2010Q4,5.049750129,0.006298711,2.038091697,-3.696403916,0.007028598,5.112420102,0.011557495,1.776655649,0.004830989,0.007279321,4.469172036,4.942362385,5.412416206
2011Q1,5.067339685,0.012805954,2.033676598,-3.732117921,0.006979169,5.126204004,0.012272251,1.789550153,0.005125628,0.008254265,4.655525664,5.08508011,5.516014758
2011Q2,5.075392808,0.007152176,2.046323782,-3.744170883,0.007161441,5.131166743,0.009513355,1.770489523,0.005489119,0.007911953,4.76325655,5.103502089,5.487915721
2011Q3,5.089807325,0.006779687,1.982012189,-3.75122599,0.007339534,5.1450857,0.009330764,1.673256845,0.005742019,0.00682475,4.719854252,5.030242634,5.451269477
2011Q4,5.100470404,0.004814646,1.980658662,-3.711803514,0.007341961,5.146873401,0.005708871,1.619490413,0.005740613,0.006439965,4.690978561,4.904207381,5.275190839
2012Q1,5.117061523,0.003835096,2.029463825,-3.753231772,0.007389296,5.160890455,0.00750291,1.708271087,0.005350608,0.006205005,4.773277015,4.909566428,5.324742478
2012Q2,5.12976088,0.001593626,2.032347636,-3.724638658,0.007521947,5.16798234,0.00655284,1.651907055,0.005170475,0.005760422,4.690091317,4.917271611,5.268737988
2012Q3,5.142378824,0.003179653,2.045295643,-3.731595493,0.00748596,5.172890272,0.006534467,1.672817027,0.004984282,0.005208405,4.695342115,4.881772506,5.184709055
2012Q4,5.162907121,0.004434597,2.043935774,-3.758866909,0.007510626,5.18546715,0.006978259,1.708270054,0.004688825,0.005044407,4.700868333,4.883215165,5.226224114
2013Q1,5.156898187,0.00567288,2.038570988,-3.75235562,0.007490004,5.188537511,0.006705869,1.790992235,0.004598623,0.00521809,4.723857163,4.891438411,5.295250788
2013Q2,5.17408737,0.005986821,2.099354749,-3.761469239,0.007316874,5.196666752,0.001785452,1.80288808,0.004661904,0.005102939,4.631573689,4.889173465,5.170461651
2013Q3,5.192861548,0.006385822,2.109779385,-3.714296895,0.007316874,5.207539524,0.009156529,1.817626259,0.004998564,0.006114011,4.703895107,4.844716852,5.174468501
2013Q4,5.207852058,0.011388465,2.119146921,-3.735388244,0.007316874,5.216158416,0.007364458,1.860869413,0.005007333,0.006078169,4.694235837,4.842818577,5.184312834
2014Q1,5.217916411,0.010177131,2.108388071,-3.718212015,0.007316874,5.224870385,0.00520606,1.834764098,0.005240098,0.005932625,4.68463645,4.842818577,5.13718867
2014Q2,5.238246554,0.004438647,2.12407312,-3.742127441,0.007316874,5.232051418,0.006671478,1.87264588,0.005096613,0.005480545,4.69871257,4.827047156,5.103240153
2014Q3,5.247665102,0.00388505,2.115491379,-3.758862676,0.007680793,5.241990071,0.003775385,1.892741161,0.00497622,0.00491885,4.624202488,4.759741857,5.086983665
2014Q4,5.2625086,0.009146863,2.061031741,-3.715921797,0.007696955,5.249847157,0.00149381,1.902558331,0.004777834,0.004306181,4.336989528,4.716145408,4.975852963
2015Q1,5.275861248,-0.010951717,2.065656408,-3.632010296,0.007705036,5.260028745,0.000681891,1.955939185,0.004749972,0.00346404,3.988402847,4.706521063,4.856350553
2015Q2,5.286885119,0.019317653,2.045353107,-3.640215594,0.007721196,5.270006743,0.005063224,1.947539737,0.0044761,0.003834865,4.123139078,4.712013828,4.829512846
2015Q3,5.295856368,0.012181386,1.946874999,-3.549113248,0.007729276,5.278108979,0.003339405,1.849324043,0.004120216,0.003948925,3.91764202,4.641529854,4.71606888
2015Q4,5.307990103,0.004898525,1.955700732,-3.499272359,0.007705036,5.285533957,0.000864784,1.867784511,0.004304361,0.003744563,3.775332043,4.608844823,4.614576714
2016Q1,5.314833956,-0.002776447,1.957090872,-3.51589062,0.007705036,5.294513455,0.002896767,1.805600783,0.0041253,0.00319358,3.518263197,4.610573432,4.604352912
2016Q2,5.326049065,0.004832528,1.95416839,-3.567058909,0.007713116,5.30418638,0.004693194,1.809689559,0.00391937,0.002759802,3.819188218,4.672186561,4.669961303
2016Q3,5.338567885,0.006888929,1.952758228,-3.564417654,0.007203547,5.312818203,0.003483726,1.850775121,0.003665973,0.002253408,3.824956131,4.684734273,4.713099952
2016Q4,5.351811927,0.007504744,1.930950971,-3.506728452,0.00719545,5.320810499,0.004535629,1.88119756,0.003794878,0.003189033,3.896585787,4.695994481,4.81720427
2017Q1,5.36928532,0.022503338,1.936038342,-3.501037211,0.00719545,5.330789663,0.005291576,1.922555862,0.003798151,0.003723227,3.984003695,4.758860947,4.9334314
2017Q2,5.383155737,0.00185935,1.973408419,-3.52927376,0.007227836,5.343338334,0.002729985,1.954664561,0.003975189,0.003466559,3.906364332,4.730723064,4.824678501
2017Q3,5.398830757,0.005583012,1.966277044,-3.551460052,0.007146864,5.353869243,0.00363477,1.984920195,0.003691831,0.00356455,3.954320072,4.695962119,4.914731266
2017Q4,5.409378076,0.004345926,1.946361477,-3.579888361,0.007244027,5.360810803,0.005212799,2.029014226,0.003860286,0.003687245,4.120488064,4.688230038,4.941167106
2018Q1,5.421045838,0.00439063,1.9949938,-3.642527754,0.007656548,5.372044186,0.006349516,2.021610653,0.003975684,0.004109099,4.202766079,4.764557932,5.008466586
2018Q2,5.427584601,-0.002623406,1.975380726,-3.633421646,0.007769671,5.381866091,0.003616726,2.020540864,0.004589772,0.004147758,4.311717584,4.763409028,5.000691169
2018Q3,5.441087988,-0.001745037,1.964500088,-3.595964256,0.007769671,5.386522934,0.006771707,2.009099131,0.004816662,0.004108434,4.321025777,4.730629289,4.931388498
2018Q4,5.455642374,0.003053978,1.91066102,-3.579867398,0.007761592,5.390244715,0.003054686,1.90431041,0.005405603,0.004173246,4.216246311,4.694245436,4.931733697
2019Q1,5.470583155,-0.002189679,1.908156935,-3.597714899,0.007777749,5.399025512,0.001790462,1.9666102,0.00556832,0.003504984,4.146792708,4.710611571,4.981375599
2019Q2,5.496465993,0.006951725,1.874138674,-3.590353558,0.007373519,5.408713175,0.007226265,1.980527483,0.005255183,0.00292787,4.233957979,4.71766661,5.041288135
2019Q3,5.500757476,0.005926166,1.855264308,-3.592157782,0.007122568,5.414532146,0.004824469,1.979489433,0.004811096,0.001918945,4.126375676,4.653858289,5.030619198
